track_name,artists_name,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
Why'd You Only Call Me When You're High?,Arctic Monkeys,29,70,2,1
SNAP,Rosa Linn,18,80,24,0
Shape of You,Ed Sheeran,10,0,7,0
Night Changes,One Direction,18,20,0,
Fin de Semana,"Oscar Maydon, Junior H",14,84,1,30
Creep,Radiohead,7,72,5,80
Car's Outside,James Arthur,10,25,0,263
Apocalypse,Cigarettes After Sex,17,96,2,116
Cheques,Shubh,8,10,0,57
Pink + White,Frank Ocean,30,68,1,39
Circles,Post Malone,16,73,3,37
Just The Way You Are,Bruno Mars,13,0,0,0
Take Me To Church,Hozier,31,99,1,0
Bebe Dame,"Fuerza Regida, Grupo Frontera",22,129,7,111
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,12,90,0,7
Titi Me Preguntï¿,Bad Bunny,42,133,14,166
Better Than Revenge (Taylor's Version),Taylor Swift,11,33,0,1
Shut up My Moms Calling,Hotel Ugly,14,50,0,19
Have You Ever Seen The Rain?,Creedence Clearwater Revival,14,37,0,167
Es un Secreto,Plan B,36,3,0,0
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",33,46,8,99
Ditto,NewJeans,22,125,1,51
Take On Me,a-ha,17,0,6,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,46,1,10
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",14,18,1,0
Acrï¿½ï¿½s,Shakira,29,50,11,31
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",19,117,5,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",6,71,0,31
S-Class,Stray Kids,19,101,0,73
Hits Different,Taylor Swift,0,15,0,0
Chanel,"Becky G, Peso Pluma",10,92,2,26
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",5,41,0,19
Area Codes,"Kaliii, Kaliii",13,34,1,171
Abcdario,"Junior H, Eden Muï¿½ï",5,60,1,109
Obsessed,"Abhijay Sharma, Riar Saab",6,79,0,42
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",3,6,1,33
FLOWER,JISOO,18,110,0,69
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",0,17,0,0
Eyes Closed,Ed Sheeran,30,69,3,675
Escapism.,"RAYE, 070 Shake",25,84,18,348
La Jumpa,"Arcangel, Bad Bunny",34,77,10,8
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0,21,0,0
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",16,69,0,36
Las Morras,"BLESSD, Peso Pluma",8,78,1,1
CHORRITO PA LAS ANIMAS,Feid,36,65,5,3
Ch y la Pizza,"Fuerza Regida, Natanael Cano",10,72,3,14
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,0,0,0
Players,Coi Leray,6,48,0,240
Bite Me,ENHYPEN,69,96,0,56
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",5,82,0,113
Normal,Feid,36,66,5,6
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",1,20,0,1
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",5,29,1,29
Bad Habit,Steve Lacy,12,72,16,29
CUFF IT,Beyoncï¿,10,88,26,23
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",6,14,2,4
69,"Nicky Jam, Feid",22,14,2,3
Niï¿½ï¿½a Bo,"Sean Paul, Feid",34,26,5,44
Search & Rescue,Drake,6,70,0,182
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",0,2,0,1
Lavender Haze,Taylor Swift,8,43,10,1
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",0,10,0,0
Efecto,Bad Bunny,33,65,6,2
Erro Gostoso - Ao Vivo,Simone Mendes,5,57,2,49
Cupido,Tini,24,29,4,54
Just Wanna Rock,Lil Uzi Vert,13,27,0,0
Unstoppable,Sia,13,66,2,
Until I Found You,Stephen Sanchez,4,100,20,438
Rich Flex,"Drake, 21 Savage",18,84,0,23
Easy On Me,Adele,20,87,22,9
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",4,2,1,11
Danger (Spider) (Offset & JID),"Offset, JID",0,3,0,0
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2,57,1,33
The Real Slim Shady,Eminem,27,53,1,17
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",20,22,4,84
The Color Violet,Tory Lanez,32,79,1,54
Glimpse of Us,Joji,6,42,3,31
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",1,13,0,1
Curtains,Ed Sheeran,0,3,0,50
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",13,110,0,49
Haegeum,Agust D,12,84,2,9
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",4,7,1,29
MIENTRAS ME CURO DEL CORA,Karol G,35,26,6,0
Never Felt So Alone,Labrinth,3,5,0,20
X SI VOLVEMOS,"Karol G, Romeo Santos",33,80,8,4
ceilings,Lizzy McAlpine,9,55,0,6
Cupid,Fifty Fifty,10,93,0,320
I AM,IVE,15,102,0,55
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2,0,0,0
Shorty Party,"Cartel De Santa, La Kelly",12,14,2,33
Super,SEVENTEEN,12,103,0,55
Slut Me Out,NLE Choppa,4,4,0,4
Double Fantasy (with Future),"The Weeknd, Future",0,65,0,0
All Of The Girls You Loved Before,Taylor Swift,6,6,0,5
PROVENZA,Karol G,34,104,11,20
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",4,0,0,0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",10,64,2,37
Shivers,Ed Sheeran,30,71,18,
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",6,84,1,4
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",9,90,0,64
Komang,Raim Laode,4,6,1,18
DESPECHï¿,ROSALï¿½,33,90,15,55
Made You Look,Meghan Trainor,6,23,3,16
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",10,0,0,0
No Se Va,Grupo Frontera,18,80,9,38
Punto G,Quevedo,35,26,5,1
Lovers Rock,TV Girl,13,1,1,37
METAMORPHOSIS,INTERWORLD,24,78,0,30
Mami Chula,"Quevedo, Jhayco",4,13,0,43
En Paris,"El Chachito, Junior H",5,31,1,0
Set Me Free Pt.2,Jimin,13,71,1,9
I Was Never There,"The Weeknd, Gesaffelstein",15,70,0,27
Don't ever say love me (feat. RM of BTS),"RM, Colde",0,9,0,0
Shut Down,BLACKPINK,17,120,0,2
Gato de Noche,"Nengo Flow, Bad Bunny",30,55,3,0
Call Out My Name,The Weeknd,6,107,1,105
Like Crazy (English Version),Jimin,19,72,0,5
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",4,77,1,1
Sunroof,"Nicky Youre, Dazy",17,35,19,0
Lose Yourself - Soundtrack Version,Eminem,21,54,1,51
Superman,"Eminem, Dina Rae",14,51,0,0
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",34,41,0,1
People Pt.2 (feat. IU),"IU, Agust D",4,45,2,24
REMIX EXCLUSIVO,Feid,9,8,0,6
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",3,3,1,1
DOGTOOTH,"Tyler, The Creator",0,0,0,33
10:35,"Tiï¿½ï¿½sto, Tate M",26,104,18,63
SORRY NOT SORRY,"Tyler, The Creator",0,1,0,0
HAPPY,NF,0,7,0,78
La Bebe,Yng Lvcas,17,11,1,2
I Know - PR1SVX Edit,"Kanii, PR1ISVX",0,15,0,1
Late Night Talking,Harry Styles,8,42,16,58
Leï¿½,Marï¿½ï¿½lia Mendo,4,84,1,28
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",5,98,3,10
Something in the Orange,Zach Bryan,12,84,16,117
VOID,Melanie Martinez,0,9,0,52
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",6,48,1,9
Midnight Rain,Taylor Swift,4,29,0,0
