track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",561,4,12
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",5871,81,58
Counting Stars,OneRepublic,29215,179,"3,394"
Ghost,Justin Bieber,5866,107,95
Under The Influence,Chris Brown,3859,133,3
PRC,"Natanael Cano, Peso Pluma",961,19,10
Gasolina,Daddy Yankee,6457,98,453
One Dance,"Drake, WizKid, Kyla",43257,433,"3,631"
Enchanted,Taylor Swift,4564,24,113
Save Your Tears,The Weeknd,12688,197,112
Sure Thing,Miguel,13801,137,435
Every Breath You Take - Remastered 2003,The Police,22439,211,929
The Night We Met,Lord Huron,18515,70,939
We Found Love,"Rihanna, Calvin Harris",36843,321,"4,607"
When I Was Your Man,Bruno Mars,2420,0,806
Let Me Down Slowly,Alec Benjamin,5897,0,885
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",727,17,28
Do I Wanna Know?,Arctic Monkeys,33783,133,"2,733"
Demons,Imagine Dragons,26694,65,"3,425"
ýýýýýýýýýýýý,YOASOBI,356,35,8
Reminder,The Weeknd,6518,45,238
Shake It Off,Taylor Swift,21335,328,"1,378"
Why'd You Only Call Me When You're High?,Arctic Monkeys,23389,54,"1,089"
SNAP,Rosa Linn,3202,148,226
Shape of You,Ed Sheeran,32181,33,"6,808"
Night Changes,One Direction,7124,60,2
Fin de Semana,"Oscar Maydon, Junior H",592,11,6
Creep,Radiohead,36724,146,"6,807"
Car's Outside,James Arthur,794,38,61
Apocalypse,Cigarettes After Sex,13091,61,790
Cheques,Shubh,67,7,0
Pink + White,Frank Ocean,21574,112,266
Circles,Post Malone,19664,391,633
Just The Way You Are,Bruno Mars,21106,82,"2,946"
Take Me To Church,Hozier,23804,187,"4,623"
Bebe Dame,"Fuerza Regida, Grupo Frontera",849,27,21
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2619,47,1
Titi Me Preguntï¿,Bad Bunny,9037,124,139
Better Than Revenge (Taylor's Version),Taylor Swift,86,3,3
Shut up My Moms Calling,Hotel Ugly,1788,1,19
Have You Ever Seen The Rain?,Creedence Clearwater Revival,15890,71,653
Es un Secreto,Plan B,492,4,19
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",773,20,21
Ditto,NewJeans,1154,28,11
Take On Me,a-ha,44927,34,"5,108"
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",551,13,20
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",577,22,15
Acrï¿½ï¿½s,Shakira,955,37,79
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",995,12,9
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",178,6,1
S-Class,Stray Kids,290,9,5
Hits Different,Taylor Swift,547,15,6
Chanel,"Becky G, Peso Pluma",681,15,21
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",332,18,5
Area Codes,"Kaliii, Kaliii",1197,44,25
Abcdario,"Junior H, Eden Muï¿½ï",262,8,4
Obsessed,"Abhijay Sharma, Riar Saab",161,10,2
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",185,5,4
FLOWER,JISOO,839,20,20
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",259,5,5
Eyes Closed,Ed Sheeran,2915,116,107
Escapism.,"RAYE, 070 Shake",5129,116,114
La Jumpa,"Arcangel, Bad Bunny",3794,47,53
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",588,23,31
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2959,41,38
Las Morras,"BLESSD, Peso Pluma",291,8,4
CHORRITO PA LAS ANIMAS,Feid,2321,29,34
Ch y la Pizza,"Fuerza Regida, Natanael Cano",536,10,8
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",359,1,9
Players,Coi Leray,4096,118,143
Bite Me,ENHYPEN,349,8,5
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",381,23,6
Normal,Feid,2461,47,45
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",277,1,5
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",967,7,51
