track_name,artists_name,artist_count,released_year,released_month,released_day
My Universe,"Coldplay, BTS",2,2021,9,24
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3
LLYLM,ROSALï¿½,1,2023,1,27
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27
TRUSTFALL,P!nk,1,2023,1,27
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17
Boy's a liar,PinkPantheress,1,2022,11,30
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13
Shirt,SZA,1,2022,10,28
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12
"Hey, Mickey!",Baby Tate,1,2016,9,27
Calm Down,Rï¿½ï,1,2022,2,9
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25
Space Song,Beach House,1,2015,1,1
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12
TV,Billie Eilish,1,2022,7,21
I'm Not The Only One,Sam Smith,1,2014,1,1
Heather,Conan Gray,1,2020,3,20
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27
Pink Venom,BLACKPINK,1,2022,8,19
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27
Don't Start Now,Dua Lipa,1,2019,10,31
After Dark,Mr.Kitty,1,2014,8,8
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10
Atlantis,Seafret,1,2015,4,22
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9
How Do I Say Goodbye,Dean Lewis,1,2022,8,5
Blind,SZA,1,2022,12,9
Die For You,Joji,1,2022,11,4
Doja,Central Cee,1,2022,7,20
Gatita,Bellakath,1,2022,10,3
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2
Yonaguni,Bad Bunny,1,2021,6,4
Super Freaky Girl,Nicki Minaj,1,2022,8,12
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16
Dream On,Aerosmith,1,1973,1,5
Limbo,Freddie Dredd,1,2022,8,11
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28
Bad Habits,Ed Sheeran,1,2020,9,3
KICK BACK,Kenshi Yonezu,1,2022,10,12
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8
Good Days,SZA,1,2020,12,24
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27
Woman,Doja Cat,1,2021,6,25
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14
