track_name,artists_name,artist_count,released_year,released_month,released_day
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5
Caile,Luar La L,1,2020,12,18
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5
GIVENCHY,Duki,1,2022,7,20
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29
Mary On A Cross,Ghost,1,2019,9,13
Attention,NewJeans,1,2022,8,1
THE SHADE,Rex Orange County,1,2022,3,11
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22
Heartless,Kanye West,1,2008,1,1
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10
Forget Me,Lewis Capaldi,1,2022,9,9
After LIKE,IVE,1,2022,8,22
Bound 2,Kanye West,1,2013,1,1
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15
Talk that Talk,TWICE,1,2022,8,26
BILLIE EILISH.,Armani White,1,2022,1,20
Ferxxo 100,Feid,1,2022,6,3
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10
Prohibidox,Feid,1,2022,9,13
Static,Steve Lacy,1,2022,7,15
The Scientist,Coldplay,1,2002,8,5
Sparks,Coldplay,1,2000,7,10
Talk,YEAT,1,2022,9,2
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13
Selfish,PnB Rock,1,2016,6,23
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22
Lady Mi Amor,Feid,1,2022,9,13
Poland,Lil Yachty,1,2022,6,23
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18
Nxde,(G)I-DLE,1,2022,10,17
Miss You,Southstar,1,1982,5,16
we fell in love in october,girl in red,1,2018,11,21
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14
Celestial,Ed Sheeran,1,2022,9,29
Typa Girl,BLACKPINK,1,2022,9,16
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18
California Breeze,Lil Baby,1,2022,10,14
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1
Major Distribution,"Drake, 21 Savage",2,2022,11,4
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4
Vigilante Shit,Taylor Swift,1,2022,10,21
Question...?,Taylor Swift,1,2022,10,21
On BS,"Drake, 21 Savage",2,2022,11,4
Mastermind,Taylor Swift,1,2022,10,21
Circo Loco,"Drake, 21 Savage",2,2022,11,4
Labyrinth,Taylor Swift,1,2022,10,21
Spin Bout U,"Drake, 21 Savage",2,2022,11,4
Sweet Nothing,Taylor Swift,1,2022,10,21
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4
The Astronaut,Jin,1,2022,10,28
BackOutsideBoyz,Drake,1,2022,11,4
Broke Boys,"Drake, 21 Savage",2,2022,11,4
The Great War,Taylor Swift,1,2022,10,21
My Mind & Me,Selena Gomez,1,2022,11,3
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20
Alone,Burna Boy,1,2022,11,4
